 ,input_f001,input_b002,input_f002,house002,dog_test001,input_g002,input_h,input_g003,provided_input,input_e,input_f003,input_a001,house003,input_c001,input_c002,input_d,input_b001,input_a003,dog_test002,input_g001,dog_test003,input_a002,house001
algo_16,66200,2138,38000,1978,78572,10297,2000,1046,56,45,67800,540,11000,1512,2159,3077,1373,17000,53600,1294,118800,17600,44150
algo_9,64700,2736,37700,1960,78551,4596,995,1024,56,45,67800,540,9937,1500,2159,3077,1373,17000,54023,1233,101305,17600,43550
algo_10,64100,2439,40700,1994,89685,6697,3500,1014,54,45,67500,540,7262,904,5300,3077,1722,17000,57722,1236,335822,17600,62150
algo_3,66200,2138,38300,1968,78789,7897,983,1060,56,45,67800,540,11000,1512,2159,3077,1373,17000,53627,1284,105786,17600,44150
algo_8,65300,2736,37700,2094,78240,4590,995,1020,56,45,67800,540,9937,1500,2454,3077,1373,17000,52892,1227,104926,17600,45050
algo_6,63800,2740,42500,1818,98295,5789,937,1014,54,45,61800,540,10100,1208,4852,3077,1427,17000,55508,1284,211562,17600,56750
algo_11,64700,2736,37400,1991,78908,7293,956,998,55,45,67800,540,9939,1502,4567,3077,1373,17000,54488,1253,115434,17600,43550
algo_19,66200,1839,43700,1954,154100,7286,3500,1106,54,45,61500,540,7281,1208,2757,3077,2750,17000,59098,1315,246015,17600,57050
algo_2,66200,2138,37700,2002,78097,9699,916,1034,55,45,67800,540,9500,1512,2159,3077,1373,17000,54056,1324,107558,17600,31850
algo_12,68000,1839,44600,2072,154016,7592,960,1110,58,45,69300,540,9667,3020,5167,3077,1367,17000,59060,1314,243300,17600,42950
algo_15,66200,2138,38000,2008,78563,7891,2000,1024,55,45,67800,540,10100,906,2159,3077,1373,17000,54692,1265,118500,17600,44150
algo_7,65300,2437,42200,1957,83186,4598,899,1044,54,45,63000,540,7256,904,3656,3077,1399,17000,57592,1146,178547,17600,39950
algo_5,66200,2138,38300,1968,78820,7897,983,1060,55,45,67800,540,9500,1512,2159,3077,1373,17000,54059,1284,102561,17600,44150
algo_0,65300,2736,42500,2097,78566,7897,6200,1048,55,45,67800,540,9200,1500,3355,3077,1373,17000,53690,1269,107046,17600,45350
algo_18,64100,2736,41000,1982,82352,5789,980,1012,54,45,62100,540,9650,1218,4268,3077,3050,17000,55614,1275,175200,17600,56750
algo_17,65300,2736,40700,1991,78455,7897,2000,998,55,45,67800,540,9500,1500,2454,3077,1373,17000,54945,1267,111838,17600,45050
algo_4,66200,2138,37700,2002,79883,4596,916,1020,56,45,67800,540,11000,1512,2159,3077,1373,17000,54017,1233,111000,17600,31850
algo_13,64700,2138,37700,1998,78526,8497,968,998,55,45,67800,540,9939,1500,4100,3077,1373,17000,53337,1306,120000,17600,31850
algo_14,66200,2138,37700,2002,79189,4596,916,998,55,45,67800,540,11000,1512,2159,3077,1373,17000,54562,1233,111491,17600,31850
algo_1,64700,2138,37700,1970,78634,4596,995,1020,55,45,67800,540,9500,1500,2159,3077,1373,17000,53480,1233,102783,17600,31850
