 ,input_f001,input_b002,input_f002,house002,dog_test001,input_g002,input_h,input_g003,provided_input,input_e,input_f003,input_a001,house003,input_c001,input_c002,input_d,input_b001,input_a003,dog_test002,input_g001,dog_test003,input_a002,house001
algo_16,64700,2138,37700,2002,78581,4596,916,1020,56,45,67800,540,11000,1512,2159,3077,1373,17000,53947,1233,119558,17600,31850
algo_9,65600,2437,37700,2104,78198,7897,985,1010,56,45,67800,540,9500,1500,2159,3079,1373,17000,53647,1267,112917,17600,45050
algo_10,64700,2140,44600,1989,107490,9695,972,1002,54,45,64200,540,7277,904,2458,3077,1406,17000,59218,1312,217905,17600,37250
algo_3,65300,1536,42500,1999,78780,4590,995,1024,55,45,67800,540,8165,1801,2600,3077,3050,17000,53463,1227,109800,17600,45050
algo_8,65600,940,50000,2095,197895,9699,6500,1188,54,45,67500,540,7257,939,4268,3077,1443,17000,65975,1318,198985,17600,60050
algo_6,64700,2138,37700,2002,78812,4594,916,1024,55,45,67800,794,9500,1529,2159,3077,1373,29600,53930,1231,124746,17600,31850
algo_11,65900,2138,37700,2002,78844,4596,916,1020,56,45,67800,540,11000,4236,2159,3077,1373,17000,53694,1233,112630,17600,31850
algo_19,66800,940,45800,1972,104519,10297,7100,978,54,45,69300,540,7245,939,3066,3077,1443,17000,56777,1378,152475,17600,37250
algo_2,68300,940,47300,1931,163046,7600,6500,1114,54,45,68100,540,7245,931,5900,3077,1443,17000,67792,1318,237300,17600,61850
algo_12,70100,940,41300,2095,117960,9699,6500,1256,54,45,69900,540,7233,926,2767,3077,1443,17000,62319,1318,267987,17600,60050
algo_15,67100,1540,42800,1974,83133,9387,883,1020,54,45,64500,540,8180,906,4268,3077,2750,17000,55650,1309,222900,17600,37250
algo_7,64700,940,47600,2095,143204,9699,6500,1166,54,45,68100,540,7252,939,4268,3077,1443,17000,62052,1318,163800,17600,60050
algo_5,68000,1837,43400,2005,155232,6998,982,1032,54,45,68100,540,12086,2104,4400,3077,3650,17000,58742,1264,504900,17600,57950
algo_0,67700,2138,37700,2008,79867,7297,916,1020,56,45,67800,540,11000,1500,2159,3077,1373,17000,53887,1292,116061,17600,31850
algo_18,68000,2428,45800,1948,238280,4297,975,1014,54,45,60900,540,8752,910,4851,3077,1429,17000,144900,1234,390623,17600,52250
algo_17,62000,2140,44000,2006,91986,4897,12800,1024,54,45,64800,540,9043,904,4249,3077,1409,17000,57039,1288,154370,17600,36950
algo_4,64100,2138,37700,2002,78838,4594,916,1020,56,45,67800,794,11000,1529,2159,3077,1373,29600,54006,1271,117300,17600,31850
algo_13,80600,2150,56000,2163,1875600,19000,3500,1200,54,45,74100,914,62000,7238,19400,11000,3950,29600,1615500,1628,2147700,47600,61250
algo_14,65900,2138,37700,2002,78205,7297,916,1020,56,45,67800,540,11000,3919,2159,3077,1373,17000,54637,1284,115800,17600,31850
algo_1,68300,2135,47000,2126,310358,7299,922,1080,54,45,73500,794,7275,932,3359,3079,1409,29600,1107900,1256,675300,17600,36950
